key,L
29.977910_0.386364_0.968750,2.5760065884
29.834556_0.334906_0.830189,1.738108263
32.911853_0.159483_0.971429,2.1321637645
22.749531_0.396552_0.969231,2.5181035933
34.907577_0.284404_0.854167,1.8767622158
25.615893_0.376404_0.968254,2.5244920202
25.172083_0.271028_0.895833,2.0136849941
29.501516_0.297297_0.812500,1.7281079733
29.732218_0.350000_0.625000,1.5813242179
33.296765_0.346535_0.875000,2.0498878718
28.980452_0.348361_0.595745,1.6146403011
22.901294_0.380435_0.935484,2.2721558215
34.634583_0.375000_0.600000,1.7396427072
19.523195_0.310000_0.925926,2.0685060737
22.007998_0.250000_0.936170,2.1276317716
24.225496_0.295000_0.943396,2.2504111736
34.249977_0.365385_0.821429,1.8691512995
34.638066_0.325581_0.500000,1.7038828903
29.280029_0.315534_0.886792,1.9736053409
29.913105_0.265000_0.980392,2.3050645042
32.689590_0.323529_0.888889,1.9815459346
22.992706_0.314286_0.865385,1.9208479536
33.857852_0.286885_0.666667,1.5419073215
32.739163_0.377660_0.918033,2.1935843962
20.937899_0.236111_0.933333,1.9688109242
32.674501_0.330579_0.630435,1.6355881356
33.699804_0.321429_0.558140,1.6139748287
25.182399_0.318182_0.800000,1.6744704346
25.291647_0.359551_0.983871,2.5252988554
32.204679_0.256198_0.725000,1.4812425957
18.418783_0.322581_0.982759,2.2565636528
33.876436_0.303150_0.560976,1.6107552115
34.039406_0.313953_0.512195,1.667178674
30.048082_0.256198_0.725000,1.5348502771
26.507615_0.310000_0.925926,2.2856564648
32.714138_0.325581_0.500000,1.7113388593
23.835845_0.279412_0.941176,2.1792151182
34.548189_0.238636_0.545455,1.5365590495
34.404671_0.256757_0.866667,1.8767622158
23.207238_0.311224_0.945455,2.1729776198
27.108184_0.262500_0.731707,1.5048432536
30.859840_0.255725_0.542857,1.5099603819
34.297217_0.232283_0.657143,1.4855529413
28.549652_0.280992_0.690476,1.5285627976
25.471368_0.295918_0.962963,2.2856564648
33.875610_0.341837_0.912281,2.2532525151
28.081106_0.314286_0.865385,1.9910512506
32.036335_0.262097_0.666667,1.4764598004
34.984138_0.327103_0.826923,1.705485104
27.532158_0.236111_0.933333,2.1525214117
23.381217_0.344660_0.854545,1.8957039213
31.431877_0.269912_0.822222,1.8107944783
29.234069_0.250000_0.648649,1.3941624892
31.525665_0.250000_0.936170,2.1427091943
24.027948_0.306604_0.862745,1.9208479536
28.976736_0.276786_0.826087,1.6937870449
32.629389_0.322581_0.590909,1.6195670637
30.454928_0.326531_0.928571,2.3162766833
25.206018_0.363636_0.879310,2.0327632009
33.397783_0.256637_0.840909,1.8372936809
32.380195_0.276316_0.800000,1.720092506
25.557848_0.321053_0.964912,2.2856564648
26.574662_0.370000_0.862069,1.9804287709
26.369418_0.257009_0.914894,2.1275716797
34.306284_0.373913_0.673077,1.6638586127
19.462135_0.272277_0.960784,2.1351767853
30.624656_0.376404_0.968254,2.5847798071
23.780013_0.312500_0.964286,2.3896880664
31.720002_0.243478_0.833333,1.7894489221
32.758371_0.250000_0.611111,1.452400634
33.398223_0.282051_0.750000,1.5966701591
27.082048_0.275862_0.772727,1.6005470903
24.295175_0.347826_0.966667,2.5252988554
30.477257_0.250000_0.571429,1.4270966511
24.065784_0.263636_0.869565,1.9187390072
31.269787_0.326531_0.928571,2.3047567338
20.665478_0.357143_0.967213,2.4171830543
20.045692_0.229358_0.931818,1.9776488817
30.683158_0.280992_0.690476,1.4828905121
34.809644_0.271028_0.895833,2.1253065894
33.669649_0.302326_0.525000,1.6391662068
33.179579_0.351351_0.750000,1.6625524416
33.635206_0.300971_0.903846,2.103280639
30.278437_0.278626_0.513514,1.551739219
23.887157_0.237069_0.829268,1.7972474741
21.738079_0.314286_0.865385,1.9317961892
18.846720_0.325000_0.909091,2.023100309
31.092150_0.275862_0.772727,1.6242802068
25.649671_0.386364_0.968750,2.5076158937
24.363506_0.328125_0.947368,2.3896880664
27.323171_0.334783_0.714286,1.5456383718
28.147112_0.235577_0.978723,2.249755198
18.957936_0.319588_0.946429,2.2565636528
31.718731_0.279528_0.589744,1.5541793079
25.662001_0.269565_0.795455,1.6972687654
34.779593_0.339450_0.788462,1.6947918133
34.849147_0.308824_0.905660,2.2198826902
22.845681_0.243363_0.860465,1.9298666393
29.330719_0.250000_0.888889,2.1311640119
29.532497_0.238636_0.545455,1.4444628265
22.550378_0.350515_0.913793,2.072109715
32.318180_0.359091_0.754717,1.6623650141
30.039547_0.335052_0.929825,2.3047567338
31.796703_0.243363_0.860465,1.8096799792
26.934830_0.283784_0.829787,1.9077030819
32.009399_0.353659_0.574468,1.682773631
28.396952_0.297297_0.812500,1.7510938112
30.895404_0.384211_0.901639,2.1713549903
34.112204_0.250000_0.717949,1.496745649
22.333103_0.368421_0.916667,2.180630851
