key,L
22.028694_0.518349_0.630769,1.5641014287
33.506541_0.606061_0.689189,1.7768403133
21.542378_0.663265_0.666667,1.5958517192
22.565766_0.604545_0.563380,1.6106582872
21.656677_0.586735_0.712329,1.6174879794
23.716549_0.490000_0.757576,1.6781289766
25.382863_0.691589_0.551282,1.764637632
26.288592_0.680556_0.545455,1.764637632
20.491006_0.581081_0.565217,1.6106582872
23.711433_0.500000_0.727273,1.6174879794
22.079019_0.576087_0.783784,1.692352933
26.237145_0.504348_0.564516,1.764637632
26.859216_0.682353_0.792683,1.7178598375
34.285595_0.598214_0.542857,1.894747784
30.361443_0.590909_0.698630,1.7375003258
22.073870_0.586735_0.712329,1.6174879794
23.938102_0.495690_0.557377,1.7014499942
27.796400_0.596774_0.760000,1.7178598375
17.337006_0.517391_0.555556,1.6165656374
20.848817_0.601064_0.746667,1.644015014
25.241293_0.509615_0.696970,1.6372017691
29.723364_0.755814_0.744186,1.7387291248
23.204909_0.599010_0.671233,1.5968759589
33.624767_0.571429_0.722222,1.7888316923
20.978564_0.521008_0.500000,1.6516751495
23.435267_0.686813_0.728395,1.6663010459
25.886457_0.513889_0.646154,1.6470041033
19.605269_0.585106_0.756757,1.644015014
31.216616_0.685000_0.632911,1.7979222621
24.454631_0.605263_0.514286,1.7237862534
19.270888_0.587156_0.585714,1.6106582872
17.529944_0.495798_0.516667,1.5618560773
23.374272_0.659794_0.679487,1.5968759589
20.197101_0.600000_0.625000,1.5641014287
28.880060_0.680556_0.545455,1.8564949073
24.449160_0.688679_0.564103,1.764637632
32.955935_0.589623_0.619718,1.8281911542
22.510027_0.676471_0.615385,1.6172145209
22.708325_0.513158_0.571429,1.6188283234
29.484340_0.659091_0.775000,1.7618773501
29.587613_0.589623_0.619718,1.7979222621
25.458701_0.508403_0.508197,1.7505204483
23.144765_0.571429_0.558824,1.6106582872
23.946397_0.596154_0.638889,1.6172145209
25.853528_0.603774_0.611111,1.764637632
28.286837_0.607477_0.597222,1.7640694767
27.407203_0.677419_0.712500,1.7056720829
34.278375_0.590909_0.571429,1.8506884631
30.617020_0.771429_0.535714,1.894747784
32.856376_0.590909_0.698630,1.7768403133
23.322304_0.520000_0.735294,1.6174879794
27.737691_0.486842_0.590164,1.7554527066
30.935542_0.582474_0.726027,1.7768403133
21.191958_0.504348_0.564516,1.6106582872
23.943522_0.662162_0.520000,1.764637632
28.583710_0.660377_0.578947,1.764637632
33.025433_0.602041_0.702703,1.7768403133
26.891496_0.602941_0.657534,1.7190832817
21.949944_0.508621_0.548387,1.6106582872
20.159909_0.521552_0.539683,1.6165656374
21.856430_0.504237_0.524590,1.6165656374
31.466661_0.605263_0.733333,1.7768403133
31.492578_0.685000_0.632911,1.8281911542
33.806299_0.760000_0.595238,1.8281911542
22.387462_0.684211_0.687500,1.5958517192
19.257478_0.500000_0.540984,1.6165656374
20.600241_0.673267_0.628205,1.6172145209
27.609927_0.693548_0.703704,1.7375003258
24.247349_0.500000_0.727273,1.6174879794
25.824254_0.512821_0.532258,1.7572770145
25.291892_0.486842_0.590164,1.6645908415
26.648179_0.584158_0.680556,1.7074823948
22.042371_0.597222_0.591549,1.6106582872
19.197133_0.521552_0.539683,1.6165656374
20.370851_0.598214_0.542857,1.6165656374
28.638091_0.744681_0.666667,1.7713652582
32.228031_0.761682_0.518072,1.894747784
19.238877_0.508850_0.587302,1.5722315545
31.338821_0.679775_0.753086,1.7888316923
